"Name","Purpose Statement","Affiliation"
"Women in Cybersecurity","Women in CyberSecurity (WiCyS) is the premier organization with national reach dedicated to bringing together women in cybersecurity from ac...","Columbus, Technology, Academic/College, Special Interest,"
"Women in Economics","The primary focus of Women in Economics is to empower women by increasing their representation at all levels in the economics field, while f...","Columbus, Academic/College, Special Interest"
"Women in Flight at The Ohio State University","Women in Flight at The Ohio State University is a student organization dedicated to the encouragement and advancement of women in all aviati...","Columbus, Academic/College, Awareness/Activism, Community Service/Service Learning, Special Interest"
"Women in Gaming","Women In Gaming's mission is to provide a welcoming and empowering place for women, and other gender minorities, who play and love video gam...","Columbus, Special Interest, Ethnic/Cultural"
"Women In Law","The purpose of the Women in Law undergraduate organization is to provide a supportive and inclusive community for undergraduate women intere...","Columbus, Academic/College, Community Service/Service Learning"
"Women in Math and Science","Established in 2006, the Women in Math and Science Club at The Ohio State University was created to unite women with similar interests, prom...","Columbus, Academic/College, Community Service/Service Learning"
"Women in Medicine","WIM is dedicated to increasing the representation, visibility, and unity of women in academic and clinical medicine.  Medicine is in a time ...","Columbus, Academic/College, Awareness/Activism"
"Women in Real Estate","To empower women in the real estate industry by providing a platform for networking, education, and professional development.","Columbus, Academic/College, Special Interest"
"Women In Surgery Empowerment Club","The Women In Surgery Empowerment Club aims to empower women to become Surgeons.  As minorities in the surgical field, many women are swayed ...","Columbus, Awareness/Activism, Community Service/Service Learning, Special Interest, Academic/College"
"Women of Knowlton","Women of Knowlton is an advocacy group for the advancement of gender-equity within architecture, landscape architecture, and city and region...","Columbus, Awareness/Activism, Academic/College, Ethnic/Cultural"
"Women's Glee Club at The Ohio State University","The Women’s Glee Club at The Ohio State University strives to connect and empower women through music-making and sisterhood, emphasizing the...","Columbus, Creative and Performing Arts, Social Fraternities/Sororities, Special Interest, Awareness/Activism"
"Women's Legal Society","Women's Legal Society is committed to providing a common ground for women of all viewpoints and backgrounds to communicate about their exper...","Columbus, Awareness/Activism, Community Service/Service Learning"
"The Women's Network at The Ohio State University","To create a community that celebrates women’s and nonbinary people’s desire to achieve, cultivating their ambition in order to prepare the n...","Columbus, Academic/College, Awareness/Activism, Special Interest"
"Women's Powerlifting Club at The Ohio State University - Sport Club","We are a community of women looking to find others to get stronger both in and out of the gym. This is fulfilled through private team practi...","Columbus, Sports and Recreation, Community Service/Service Learning, Special Interest"
"The Women’s Team Handball Club at The Ohio State University - Sport Club","The purpose of this club is to promote and introduce the sport of team handball to the women of The Ohio State University.","Columbus, Sports and Recreation, Community Service/Service Learning"
"Women’s Veterinary Leadership Development Initiative","WVLDI’s Mission is to support women in seeking and achieving leadership, policy, and decision-making positions within all areas of professio...","Columbus, Academic/College, Awareness/Activism"
"Working Professional MBA Council","The Working Professional MBA Student Council is a student led governing body whose primary purpose is to represent the interests of Working ...","Columbus, Academic/College, Special Interest, Governance Organizations"
"The Wrestling Club at The Ohio State University - Sport Club","The Sport Club program is designed to serve individual interests in different sports and recreational activities. Participation in the progr...","Columbus, Sports and Recreation, Special Interest"
"Writers Guild at The Ohio State University","The Writers Guild was created to 1) allow a unified and more powerful voice in departmental decisions affecting the Creative Writing Program...","Columbus, Academic/College, Creative and Performing Arts, Media, Journalism, and Creative Writing"
